fileName,sprint,mile,medium,long
GolShi (7).png,0,0,1,1
GraWon (1).png,0,1,0,1
GraWon (2).png,0,1,0,1
GraWon (3).png,0,1,0,1
GraWon (4).png,0,1,0,1
GraWon (5).png,0,1,0,1
GraWon (6).png,0,1,0,1
GraWon (7).png,0,1,0,1
GraWon (8).png,0,1,0,1
GraWon (9).png,0,1,0,1
GraWon (10).png,0,1,0,1
GraWon (11).png,0,1,0,1
GraWon (12).png,0,1,0,1
GraWon (13).png,0,1,0,1
GraWon (14).png,0,1,0,1
HarUra (1).png,1,0,0,0
HarUra (2).png,1,0,0,0
HarUra (3).png,1,0,0,0
HarUra (4).png,1,0,0,0
HarUra (5).png,1,0,0,0
HarUra (6).png,1,0,0,0
HarUra (7).png,1,0,0,0
HisAma (1).png,0,1,1,0
HisAma (2).png,0,1,1,0
HisAma (3).png,0,1,1,0
HisAma (4).png,0,1,1,0
HisAma (5).png,0,1,1,0
HisAma (6).png,0,1,1,0
HisAma (7).png,0,1,1,0
KinHal (1).png,1,0,0,0
KinHal (2).png,1,0,0,0
KinHal (3).png,1,0,0,0
KinHal (4).png,1,0,0,0
KinHal (5).png,1,0,0,0
KinHal (6).png,1,0,0,0
KinHal (7).png,1,0,0,0
Maru (1).png,0,1,0,0
Maru (2).png,0,1,0,0
Maru (3).png,0,1,0,0
Maru (4).png,0,1,0,0
Maru (5).png,0,1,0,0
Maru (6).png,0,1,0,0
Maru (7).png,0,1,0,0
Maru (8).png,0,1,0,0
Maru (9).png,0,1,0,0
Maru (10).png,0,1,0,0
Maru (11).png,0,1,0,0
Maru (12).png,0,1,0,0
Maru (13).png,0,1,0,0
Maru (14).png,0,1,0,0
Mati (1).png,0,0,1,1
Mati (2).png,0,0,1,1
Mati (3).png,0,0,1,1
Mati (4).png,0,0,1,1
Mati (5).png,0,0,1,1
Mati (6).png,0,0,1,1
Mati (7).png,0,0,1,1
Maytop (1).png,0,0,1,1
Maytop (2).png,0,0,1,1
Maytop (3).png,0,0,1,1
Maytop (4).png,0,0,1,1
Maytop (5).png,0,0,1,1
Maytop (6).png,0,0,1,1
Maytop (7).png,0,0,1,1
Maytop (8).png,0,0,1,1
Maytop (9).png,0,0,1,1
Maytop (10).png,0,0,1,1
Maytop (11).png,0,0,1,1
Maytop (12).png,0,0,1,1
Maytop (13).png,0,0,1,1
Maytop (14).png,0,0,1,1
MeiDot (1).png,0,0,1,1
MeiDot (2).png,0,0,1,1
MeiDot (3).png,0,0,1,1
MeiDot (4).png,0,0,1,1
MeiDot (5).png,0,0,1,1
MeiDot (6).png,0,0,1,1
MeiDot (7).png,0,0,1,1
MejMcq (1).png,0,0,1,1
MejMcq (2).png,0,0,1,1
MejMcq (3).png,0,0,1,1
MejMcq (4).png,0,0,1,1
MejMcq (5).png,0,0,1,1
MejMcq (6).png,0,0,1,1
MejMcq (7).png,0,0,1,1
MejMcq (8).png,0,0,1,1
MejMcq (9).png,0,0,1,1
MejMcq (10).png,0,0,1,1
MejMcq (11).png,0,0,1,1
MejMcq (12).png,0,0,1,1
MejMcq (13).png,0,0,1,1
MejMcq (14).png,0,0,1,1
MejRya (1).png,0,0,1,0
MejRya (2).png,0,0,1,0
MejRya (3).png,0,0,1,0
MejRya (4).png,0,0,1,0
MejRya (5).png,0,0,1,0
MejRya (6).png,0,0,1,0
MejRya (7).png,0,0,1,0
MihBou (1).png,0,0,1,0
MihBou (2).png,0,0,1,0
MihBou (3).png,0,0,1,0
MihBou (4).png,0,0,1,0
MihBou (5).png,0,0,1,0
MihBou (6).png,0,0,1,0
MihBou (7).png,0,0,1,0
NarBri (1).png,0,0,1,1
NarBri (2).png,0,0,1,1
NarBri (3).png,0,0,1,1
NarBri (4).png,0,0,1,1
NarBri (5).png,0,0,1,1
NarBri (6).png,0,0,1,1
NarBri (7).png,0,0,1,1
NarTai (1).png,0,0,1,1
NarTai (2).png,0,0,1,1
NarTai (3).png,0,0,1,1
NarTai (4).png,0,0,1,1
NarTai (5).png,0,0,1,1
NarTai (6).png,0,0,1,1
NarTai (7).png,0,0,1,1
NicNat (1).png,0,0,1,1
NicNat (2).png,0,0,1,1
NicNat (3).png,0,0,1,1
NicNat (4).png,0,0,1,1
NicNat (5).png,0,0,1,1
NicNat (6).png,0,0,1,1
NicNat (7).png,0,0,1,1
OguCap (1).png,0,1,1,0
OguCap (2).png,0,1,1,0
OguCap (3).png,0,1,1,0
OguCap (4).png,0,1,1,0
OguCap (5).png,0,1,1,0
OguCap (6).png,0,1,1,0
OguCap (7).png,0,1,1,0
RicSho (1).png,0,0,1,1
RicSho (2).png,0,0,1,1
RicSho (3).png,0,0,1,1
RicSho (4).png,0,0,1,1
RicSho (5).png,0,0,1,1
RicSho (6).png,0,0,1,1
RicSho (7).png,0,0,1,1
SakBak (1).png,1,0,0,0
SakBak (2).png,1,0,0,0
SakBak (3).png,1,0,0,0
SakBak (4).png,1,0,0,0
SakBak (5).png,1,0,0,0
SakBak (6).png,1,0,0,0
SakBak (7).png,1,0,0,0
SeiSky (1).png,0,0,1,1
SeiSky (2).png,0,0,1,1
SeiSky (3).png,0,0,1,1
SeiSky (4).png,0,0,1,1
SeiSky (5).png,0,0,1,1
SeiSky (6).png,0,0,1,1
SeiSky (7).png,0,0,1,1
SilSuz (1).png,0,1,1,0
SilSuz (2).png,0,1,1,0
SilSuz (3).png,0,1,1,0
SilSuz (4).png,0,1,1,0
SilSuz (5).png,0,1,1,0
SilSuz (6).png,0,1,1,0
SilSuz (7).png,0,1,1,0
SmaFal (1).png,0,1,1,0
SmaFal (2).png,0,1,1,0
SmaFal (3).png,0,1,1,0
SmaFal (4).png,0,1,1,0
SmaFal (5).png,0,1,1,0
SmaFal (6).png,0,1,1,0
SmaFal (7).png,0,1,1,0
SpeWee (1).png,0,0,1,1
SpeWee (2).png,0,0,1,1
SpeWee (3).png,0,0,1,1
SpeWee (4).png,0,0,1,1
SpeWee (5).png,0,0,1,1
SpeWee (6).png,0,0,1,1
SpeWee (7).png,0,0,1,1
SpeWee (8).png,0,0,1,1
SpeWee (9).png,0,0,1,1
SpeWee (10).png,0,0,1,1
SpeWee (11).png,0,0,1,1
SpeWee (12).png,0,0,1,1
SpeWee (13).png,0,0,1,1
SpeWee (14).png,0,0,1,1
SupCre (1).png,0,0,1,1
SupCre (2).png,0,0,1,1
SupCre (3).png,0,0,1,1
SupCre (4).png,0,0,1,1
SupCre (5).png,0,0,1,1
SupCre (6).png,0,0,1,1
SupCre (7).png,0,0,1,1
SymRud (1).png,0,0,1,1
SymRud (2).png,0,0,1,1
SymRud (3).png,0,0,1,1
SymRud (4).png,0,0,1,1
SymRud (5).png,0,0,1,1
SymRud (6).png,0,0,1,1
SymRud (7).png,0,0,1,1
TaiShu (1).png,0,1,0,0
TaiShu (2).png,0,1,0,0
TaiShu (3).png,0,1,0,0
TaiShu (4).png,0,1,0,0
TaiShu (5).png,0,1,0,0
TaiShu (6).png,0,1,0,0
TaiShu (7).png,0,1,0,0
Opera (1).png,0,0,1,1
Opera (2).png,0,0,1,1
Opera (3).png,0,0,1,1
Opera (4).png,0,0,1,1
Opera (5).png,0,0,1,1
Opera (6).png,0,0,1,1
Opera (7).png,0,0,1,1
TokTei (1).png,0,0,1,0
TokTei (2).png,0,0,1,0
TokTei (3).png,0,0,1,0
TokTei (4).png,0,0,1,0
TokTei (5).png,0,0,1,0
TokTei (6).png,0,0,1,0
TokTei (7).png,0,0,1,0
TokTei (8).png,0,0,1,0
TokTei (9).png,0,0,1,0
TokTei (10).png,0,0,1,0
TokTei (11).png,0,0,1,0
TokTei (12).png,0,0,1,0
TokTei (13).png,0,0,1,0
TokTei (14).png,0,0,1,0
Vodka (1).png,0,1,1,0
Vodka (2).png,0,1,1,0
Vodka (3).png,0,1,1,0
Vodka (4).png,0,1,1,0
Vodka (5).png,0,1,1,0
Vodka (6).png,0,1,1,0
Vodka (7).png,0,1,1,0
WinTic (1).png,0,0,1,0
WinTic (2).png,0,0,1,0
WinTic (3).png,0,0,1,0
WinTic (4).png,0,0,1,0
WinTic (5).png,0,0,1,0
WinTic (6).png,0,0,1,0
WinTic (7).png,0,0,1,0
